"identity","extraverted","critical","dependable","anxious","open","reserved","sympathetic","disorganized","calm","conventional","af1","af2","af3","af4","af5","af6","af7","af8","af9","af10","af11","af12","af13","af14","af15","af16","af17","af18","af19","af20","age","region","education","urban","trust_eu","trust_nat","trust_loc","sex","age_mean","concealing","tolerating","adjusting","trust_index","extraversion","conscientiousness","neuroticism","openness","agreeableness","soc_trust","ideology","salience"
2185319,5,5,7,3,4,4,6,2,3,6,4,2,4,4,2,5,2,4,2,2,4,2,4,2,2,2,4,2,2,2,22,"Hovedstaden","Almengymnasial uddannelse (studentereksamen/HF)","Hovedstadsområdet",8,6,6,"Female",23.06584,20,19,14,20,8,12,7,5,8,8,2,3
2187445,3,3,6,1,6,6,6,5,6,3,3,4,4,4,3,2,4,2,4,4,3,4,4,2,3,3,2,4,3,4,30,"Hovedstaden","Lang videregående uddannelse 5 år eller mere","Hovedstadsområdet",5,6,8,"Female",15.06584,29,13,22,19,4,8,2,10,10,10,3,3
2357278,1,1,7,1,6,6,7,6,6,6,4,4,4,4,4,4,4,2,4,4,4,4,5,4,4,4,4,2,4,4,63,"Syddanmark","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse 10.000-49.999 indbyggere",5,10,10,"Male",-17.93416,31,20,24,25,2,8,2,7,13,8,10,3
2384935,5,6,6,3,6,3,4,2,5,3,3,3,3,4,3,4,3,4,4,3,5,3,3,1,4,3,4,4,3,4,22,"Midtjylland","Erhvervsgymnasial uddannelse (HH/HTX/HHX)","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",3,4,7,"Female",23.06584,28,17,19,14,9,11,5,10,5,7,4,4
2455395,4,4,5,2,5,4,5,3,5,3,3,4,3,3,3,3,3,3,4,3,3,4,3,2,3,4,3,3,4,4,61,"Midtjylland","Grund-/folkeskole","Udenfor bymæssig bebyggelse – landområde",7,7,7,"Female",-15.93416,26,14,22,21,7,9,4,9,8,8,8,3
3001172,2,3,3,3,2,5,4,4,4,3,3,1,2,3,4,3,2,3,4,3,3,4,3,3,2,3,2,3,3,4,43,"Midtjylland","Erhvervsfaglig uddannelse","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",5,6,7,"Male",2.06584,26,13,16,18,4,6,6,6,8,4,3,2
3001348,1,2,3,3,1,7,1,1,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,60,"Sjælland","Grund-/folkeskole","Udenfor bymæssig bebyggelse – landområde",2,2,2,"Female",-14.93416,17,11,14,6,1,9,7,5,6,NA,NA,2
3001412,2,5,5,1,6,7,4,3,7,3,4,4,4,4,4,3,4,3,3,4,5,3,4,1,4,2,3,2,3,4,43,"Syddanmark","Lang videregående uddannelse 5 år eller mere","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",6,8,6,"Male",2.06584,29,16,20,20,2,9,1,10,6,10,3,3
3001589,6,7,6,2,6,2,5,4,5,3,3,3,4,3,2,5,4,3,3,2,4,4,3,5,3,4,4,3,4,2,40,"Midtjylland","Erhvervsfaglig uddannelse","Udenfor bymæssig bebyggelse – landområde",1,3,3,"Male",5.0658398,21,22,22,7,11,9,4,10,5,3,8,3
3002100,5,6,5,2,6,3,5,5,5,1,4,3,4,4,3,4,4,3,4,2,5,5,3,2,3,4,4,3,5,2,46,"Hovedstaden","Lang videregående uddannelse 5 år eller mere","Hovedstadsområdet",7,2,4,"Male",-0.93415999,24,19,25,13,9,7,4,12,6,8,4,3
