"identity","extraverted","critical","dependable","anxious","open","reserved","sympathetic","disorganized","calm","conventional","af1","af2","af3","af4","af5","af6","af7","af8","af9","af10","af11","af12","af13","af14","af15","af16","af17","af18","af19","af20","age","inputstate","region","education","urban","ideology","trust_fed","trust_nat","trust_loc","soc_trust","sex","concealing","tolerating","adjusting","trust_index","salience","age_mean","extraversion","agreeableness","conscientiousness","neuroticism","openness"
2003917,6,2,6,3,5,4,6,1,4,3,3,3,3,4,2,3,4,4,2,3,4,3,3,4,2,3,5,3,3,3,63,"Arizona","West","4-year","Suburb",3,4,3,8,5,"Male",21,19,24,15,4,-16.41205,9,11,12,6,9
2011352,5,1,7,2,6,6,6,1,6,1,2,3,4,1,2,3,2,2,2,3,4,2,3,2,2,3,4,2,2,2,72,"Vermont","Northeast","Some college","Town",9,0,0,6,8,"Female",18,17,15,6,3,-25.41205,6,12,13,3,12
2011880,5,2,5,6,4,2,6,2,3,3,2,2,2,1,1,3,1,2,2,2,3,2,2,2,1,2,4,1,2,1,42,"Mississippi","Midwest","High school graduate","Town",NA,3,3,2,6,"Male",12,14,12,8,1,4.5879502,10,11,10,10,8
2016937,4,4,5,4,5,5,5,4,5,4,4,4,4,4,3,2,3,2,2,2,4,3,3,4,3,3,3,2,3,3,57,"Ohio","South","Post-grad","City",7,3,4,5,6,"Female",22,17,22,12,3,-10.41205,6,8,8,6,8
2024119,4,3,6,2,6,5,4,1,4,4,4,4,4,3,3,2,5,3,4,3,4,5,4,4,3,4,3,2,5,4,74,"California","West","Some college","Rural area",7,1,2,5,5,"Female",27,17,29,8,3,-27.41205,6,8,12,5,9
2046039,4,4,6,4,6,7,7,1,6,1,5,4,5,4,1,1,4,4,4,4,3,3,4,4,4,4,4,1,3,4,61,"Nevada","West","High school graduate","City",0,0,0,0,0,"Female",27,17,26,0,3,-14.41205,4,10,12,5,12
2047060,2,2,6,1,2,5,4,2,6,5,4,4,3,3,2,2,3,3,3,2,4,3,4,3,4,3,3,2,3,2,43,"New Hampshire","Northeast","Some college","Suburb",5,3,3,4,0,"Female",23,15,22,10,3,3.58795,4,9,11,2,4
2051178,6,6,7,3,4,2,5,4,4,1,1,3,4,3,2,3,2,2,4,1,4,3,4,4,3,4,4,1,3,2,55,"Florida","Midwest","Post-grad","Suburb",7,0,2,3,6,"Female",18,19,20,5,4,-8.4120502,11,6,10,6,10
2053078,3,3,6,4,4,5,6,4,3,2,3,3,2,3,4,2,1,2,3,2,3,1,3,2,3,1,3,1,1,2,61,"South Carolina","Midwest","Some college","Suburb",6,0,3,5,7,"Female",21,12,12,8,3,-14.41205,5,10,9,8,9
2057557,3,2,6,4,5,6,6,2,5,2,5,3,4,4,3,3,3,2,3,3,4,2,4,4,3,1,4,2,2,2,64,"Arizona","West","Some college","City",2,7,0,7,5,"Female",25,19,17,14,3,-17.41205,4,11,11,6,10
2065604,6,1,5,2,5,3,6,5,7,4,4,4,4,4,2,4,4,2,4,4,4,3,3,4,4,3,4,4,4,5,44,"New York","Northeast","Some college","Town",6,2,3,8,4,"Female",30,20,24,13,2,2.58795,10,12,7,2,8
2065994,4,5,7,5,3,3,1,1,4,3,2,4,5,1,3,4,3,1,2,1,4,2,1,4,1,1,4,3,1,3,37,"Illinois","South","4-year","Suburb",10,0,1,2,1,"Female",16,21,13,3,4,9.5879498,8,3,13,8,7
2070645,3,1,4,3,5,6,7,3,5,4,4,2,4,3,4,3,3,2,4,4,5,4,4,5,4,3,3,2,3,5,58,"Georgia","Midwest","4-year","Suburb",6,2,6,7,6,"Female",31,20,20,15,4,-11.41205,4,13,8,5,8
2075988,5,4,7,1,6,3,3,1,7,1,4,5,1,4,4,1,4,4,5,4,4,5,4,4,4,5,2,2,5,4,52,"Florida","Midwest","Some college","Town",5,0,6,7,5,"Female",31,12,32,13,2,-5.4120498,9,6,13,1,12
2076378,4,3,6,3,5,2,6,1,6,1,3,4,4,3,3,3,4,3,3,2,5,4,3,2,4,3,4,3,4,4,69,"Florida","Midwest","Post-grad","City",1,3,2,6,3,"Male",25,18,25,11,4,-22.41205,9,10,12,4,11
2077146,7,3,6,3,7,2,6,2,5,1,5,4,4,5,4,4,4,3,5,4,5,4,4,4,5,4,4,5,5,5,43,"Georgia","Midwest","4-year","Town",2,6,1,8,7,"Male",37,21,29,15,3,3.58795,12,10,11,5,13
2090451,2,3,6,3,6,6,6,2,6,2,4,5,4,2,4,2,5,1,2,4,4,2,4,4,4,1,2,2,1,5,53,"New York","Northeast","4-year","City",1,7,5,2,3,"Female",29,16,17,14,3,-6.4120498,3,10,11,4,11
2090803,5,4,7,5,6,2,5,7,5,3,1,3,4,4,3,2,3,3,3,3,5,2,5,4,3,5,4,3,2,4,65,"California","West","Post-grad","Suburb",6,6,9,10,6,"Female",25,19,22,25,4,-18.41205,10,8,7,7,10
2092543,4,4,6,2,6,4,4,2,5,3,3,4,3,3,3,2,3,4,3,3,3,3,3,3,3,3,2,3,3,3,34,"Arizona","West","Some college","Suburb",3,0,0,0,3,"Male",24,13,23,0,2,12.58795,7,7,11,4,10
2101123,1,4,5,2,5,4,3,2,4,1,5,3,3,1,5,3,3,1,3,4,4,2,5,3,4,4,4,1,2,4,41,"Indiana","South","Some college","Rural area",NA,1,0,1,4,"Female",31,17,16,2,NA,5.5879502,4,6,10,5,11
